HOITEMID,ITEMNAME,ADDRESS,LGA_NAME21,lat_long
5045552.0,Neoblie,"Great Western Highway, Mount Druitt",BLACKTOWN,"[-33.77925375896685, 150.816352071892]"
5051337.0,Katoomba Post Office (former),59-61 Katoomba Street Katoomba,BLUE MOUNTAINS,"[-33.713697295628116, 150.31122409267098]"
5045158.0,Willandra,782 Victoria Road Ryde,RYDE,"[-33.81601798862549, 151.10208145519337]"
5045737.0,St Paul's Anglican Church,221 Old Northern Road Castle Hill,THE HILLS SHIRE,"[-33.73751205275017, 151.00155940097684]"
5045738.0,Derrendi Cottage,30-32 Twynam Street Narrandera,NARRANDERA,"[-34.746961156209, 146.55012804235272]"
5012260.0,Wallerawang Railway Station and yard group,"Main Western railway, Wallerawang",LITHGOW,"[-33.40732224678793, 150.06842798828862]"
5045679.0,Justice and Police Museum,4-8 Phillip Street Sydney,SYDNEY,"[-33.86222334422245, 151.21232861325646]"
5045105.0,Terraces,"15, 17, 19, 21, 23, 25 Dalgety Terrace Millers Point",SYDNEY,"[-33.85715588825315, 151.20232888336585]"
5045130.0,Kurkulla,"Evans Lane, Bowral",WINGECARRIBEE,"[-34.46531547857705, 150.419253829203]"
5045015.0,Hambledon Homestead,"Tarcutta Street, Tarcutta",WAGGA WAGGA,"[-35.28396914960559, 147.72762043481296]"
5014094.0,Cattai Estate,"Wisemans Ferry Road, Cattai",THE HILLS SHIRE,"[-33.54894087804211, 150.89997006530092]"
5045124.0,Hardware House,73 York Street Sydney,SYDNEY,"[-33.86842071664674, 151.20569974037252]"
5045557.0,Shops,"1, 3, 5, 7 Argyle Place Millers Point",SYDNEY,"[-33.85854416732474, 151.2029919480848]"
5045526.0,Moonby House,"New England Highway, Kootingal",TAMWORTH REGIONAL,"[-31.04449964328181, 151.06560563007835]"
5051267.0,Miss Traill's House,321 Russell Street Bathurst,BATHURST REGIONAL,"[-33.41221570339636, 149.57416116781812]"
5011977.0,Cootamundra West Railway Station group,Cootamundra-Griffith railway Cootamundra,COOTAMUNDRA-GUNDAGAI REGIONAL,"[-34.630952008789805, 148.03450250206672]"
5045543.0,International House,14-16 York Street Sydney,SYDNEY,"[-33.867831746686164, 151.20616574238497]"
5053418.0,Up-To-Date Store and Garth Jones Collection of farm machinery,127-129 Cowabbie Street Coolamon,COOLAMON,"[-34.81297950105823, 147.19993323164462]"
5053139.0,Argyle Stores,12-20 Argyle Street The Rocks,SYDNEY,"[-33.858750258772915, 151.2077763733732]"
5045298.0,Rothwell Lodge & Factory,24 Ferry Road Glebe,SYDNEY,"[-33.87657487987127, 151.1860661980871]"
5045131.0,Oddfellows Arms Inn,541 Church Street Parramatta,PARRAMATTA,"[-33.79938377333572, 151.00319914553145]"
5051455.0,Waverley Reservoir No.1 (WS 0132),"Paul Street, Waverley",WAVERLEY,"[-33.8946889745751, 151.25645500258207]"
5045020.0,Uniting Church & Kindergarten Hall,219-255 Anson Street Orange,ORANGE,"[-33.28273962361037, 149.0983865761986]"
5045204.0,Dalgety Terrace,"7, 9, 11, 13 Dalgety Terrace Millers Point",SYDNEY,"[-33.856888242240714, 151.20221582041785]"
5045128.0,Weidmann Cottage,132 Bridge Street Muswellbrook,MUSWELLBROOK,"[-32.26181312183751, 150.88882193847832]"
5045684.0,Family Hotel,240 Princes Highway Bulli,WOLLONGONG,"[-34.333952209695475, 150.9126806682838]"
5045086.0,Joadja kerosene oil shale mining and refining site,"Joadja Road, Joadja",WINGECARRIBEE,"[-34.398367485410425, 150.22227153196985]"
5051380.0,Morpeth Bridge over the Hunter River,Main Road 102 Morpeth,MAITLAND,"[-32.723755820176095, 151.62657383553318]"
5012087.0,Leeton District Lands Office,"Chelmsford Place, Leeton",LEETON,"[-34.550185994196596, 146.4064988736912]"
5011953.0,Branxton Railway Station group,Main Northern railway,CESSNOCK,"[-32.66249671727144, 151.34639126576045]"
5053909.0,Jadda Centre (former Athenium Theatre),"The Broadway, Junee",JUNEE,"[-34.86802902628885, 147.5821251559476]"
5045161.0,Terrace,55 Victoria Street Potts Point,SYDNEY,"[-33.8691254032821, 151.22315381678203]"
5045457.0,Hooper Cottage,17 Gilderthorpe Avenue Randwick,RANDWICK,"[-33.9059739158224, 151.24756618633594]"
5045099.0,Hastings,2 Hayes Street Neutral Bay,NORTH SYDNEY,"[-33.8417116796563, 151.21851097312543]"
5053328.0,St David's Uniting Church,51- 53 Dalhousie Street Haberfield,INNER WEST,"[-33.88247122840793, 151.1377352932142]"
5051401.0,Perth House and Stables,85 George Street Parramatta,PARRAMATTA,"[-33.81499161385971, 151.00767837181786]"
5051415.0,Lennox House,39 Campbell Street Parramatta,PARRAMATTA,"[-33.81895447242727, 151.0027075150018]"
5045673.0,Elm Court,435 Townsend Street Albury,ALBURY,"[-36.08369983438894, 146.9121000530124]"
5051526.0,Prospect Hill,"Clunies Ross Street, Prospect",CUMBERLAND,"[-33.81495613533349, 150.92625488046372]"
5045075.0,Metropolitan Hotel,244 George Street Sydney,SYDNEY,"[-33.86387565680224, 151.20770582669562]"
5051417.0,Bankstown Reservoir (Elevated),"Beresford Avenue, Bankstown",CANTERBURY-BANKSTOWN,"[-33.90552050644083, 151.03949058821146]"
5045038.0,Police Station (East Maitland),20 John Street East Maitland,MAITLAND,"[-32.74439769271795, 151.5885878439637]"
5045310.0,Ewenton,6 Ewenton Street Balmain,INNER WEST,"[-33.859311850056486, 151.1893464069327]"
5045735.0,Towers Drug Company Building (former),45 Mitchell Street Bourke,BOURKE,"[-30.088607409623158, 145.9389010325399]"
5051264.0,Norman Lindsay Gallery,14-20 Norman Lindsay Crescent Faulconbridge,BLUE MOUNTAINS,"[-33.67932948196329, 150.56118043339967]"
5051372.0,Hinton Bridge over Paterson River,Hinton-Morpeth Road Hinton,MAITLAND,"[-32.714039656122104, 151.6477801089398]"
5045481.0,Royal Newcastle Hospital - The Club Building,"Pacific Street, Newcastle",NEWCASTLE,"[-32.92874697675169, 151.7850535964729]"
5045331.0,Merriville House & Gardens,"Vinegar Hill Road, Kellyville Ridge",BLACKTOWN,"[-33.699028318050445, 150.92115634652077]"
5053212.0,"Shops and Residences, Terrace",95-99 George Street The Rocks,SYDNEY,"[-33.859457821850036, 151.20854837816793]"
5045452.0,Albury Post Office,570 Dean Street Albury,ALBURY,"[-36.08040842366206, 146.9159649437721]"
5045558.0,Department of Education Building,35-39 Bridge Street Sydney,SYDNEY,"[-33.8638422300792, 151.21067399727573]"
5052983.0,North Beach Precinct,"Cliff Road, Wollongong",WOLLONGONG,"[-34.41486835122006, 150.90145215407335]"
5045050.0,Land Titles Office,"Prince Albert Road, Sydney",SYDNEY,"[-33.86989800736332, 151.2132616280929]"
5051273.0,Goulburn Post Office,165 Auburn Street Goulburn,GOULBURN MULWAREE,"[-34.755249643259624, 149.7182491266394]"
5045344.0,Building,55 Lower Fort Street Millers Point,SYDNEY,"[-33.85691328764827, 151.20657911779085]"
5044990.0,Fanny's Tavern,"Argyle Street, Newcastle",NEWCASTLE,"[-32.925734988788186, 151.7752023012283]"
5011948.0,Substation,182 Johnston Street Annandale,INNER WEST,"[-33.87890371153599, 151.17157534284834]"
5045327.0,Royal George Hotel,115-117 Sussex Street Sydney,SYDNEY,"[-33.8686433454346, 151.20341105766997]"
5045724.0,Seppelts Warehouse,160 Crystal Street Broken Hill,BROKEN HILL,"[-31.961150240721675, 141.46258727525122]"
5045089.0,Undercliffe Terrace,"52, 54, 56, 58, 60 Argyle Place Millers Point",SYDNEY,"[-33.858049986516804, 151.20508559285184]"
5050360.0,Wylie's Baths,4B Neptune Street Coogee,RANDWICK,"[-33.92568241805893, 151.25930782100122]"
5053894.0,Scone Civic Theatre,144 Kelly Street Scone,UPPER HUNTER SHIRE,"[-32.04945555840889, 150.86826011323603]"
5011945.0,Bathurst Railway Station and Yard Group,"Havannah Street, Bathurst",BATHURST REGIONAL,"[-33.4268944121917, 149.58212936487118]"
5053187.0,Police Station (former) - Australian Craftworks Gallery,127-129 George Street The Rocks,SYDNEY,"[-33.8601683518383, 151.20836967209812]"
5045203.0,Macquarie Lighthouse Site,"Old South Head Road, Vaucluse",WOOLLAHRA,"[-33.85401257899601, 151.28535185392505]"
5000864.0,Stone House,"53, 55 Kent Street Millers Point",SYDNEY,"[-33.859257162366056, 151.2033807969336]"
5045025.0,Neotsfield,"Neotsfield Lane, Whittingham",SINGLETON,"[-32.59268959606089, 151.22136351288964]"
5012248.0,Tocumwal road and rail bridge over Murray River,Narrandera-Tocumwal railway,BERRIGAN,"[-35.81407264305223, 145.5567275256204]"
5052149.0,Cliefden,Mandurama,BLAYNEY,"[-33.65751921244398, 148.9117553697688]"
5050315.0,Old Dubbo Gaol,215 Macquarie Street Dubbo,DUBBO REGIONAL,"[-32.24590667063338, 148.6024817651895]"
5053180.0,NSW Housing Board Building (former),16-18 Grosvenor Street The Rocks,SYDNEY,"[-33.86316911460195, 151.2056138760895]"
5051522.0,Burwood Post Office (former),168A Burwood Road Burwood,BURWOOD,"[-33.877692044230635, 151.103945361691]"
5000979.0,"Carriageway, The",506-508 Smollet Street Albury,ALBURY,"[-36.082782819785464, 146.91738017726985]"
5045745.0,Stone Cottage,Lot 315 Ben Lomond Road Minto,CAMPBELLTOWN (NSW),"[-34.04072265565493, 150.85836192028404]"
5045519.0,Brundah,37 Norton Street Ballina,BALLINA,"[-28.8691344172052, 153.56804585138835]"
5014213.0,Fairwater,560 New South Head Road Double Bay,WOOLLAHRA,"[-33.87175680875433, 151.24939833767598]"
5044995.0,Babworth House,103 Darling Point Road Darling Point,WOOLLAHRA,"[-33.87200216977248, 151.23888216614657]"
5045352.0,St Brigid's Roman Catholic Church & School,"14, 16 Kent Street Millers Point",SYDNEY,"[-33.85866216940028, 151.2037919479546]"
5054684.0,Rail Paybus FP1,NSW Rail Transport Museum Barbour Road Thirlmere,WOLLONDILLY,"[-34.207108478360645, 150.56907359424025]"
5014098.0,Glenrock early coalmining sites,Glenrock State Recreation Area,NEWCASTLE,"[-32.95948909434619, 151.73664501598282]"
5045680.0,Gleniffer Brae,"Murphys Avenue, Keiraville",WOLLONGONG,"[-34.40939351655133, 150.87289597499066]"
5045171.0,"Ebenezer Church (Uniting), Old Schoolhouse, Cemetery & Tree","Coromandel Road, Ebenezer",HAWKESBURY,"[-33.53682556618439, 150.8915868550792]"
5012148.0,Norma Parker Correctional Centre,1 Fleet Street Parramatta,PARRAMATTA,"[-33.804922544133625, 151.00059715316752]"
5051429.0,Mosman Bay Sewage Aqueduct,"Avenue Road, Mosman",MOSMAN,"[-33.83433809902296, 151.23368745594777]"
5045458.0,"Albion Hotel, 3 adjoining shops & stables","119 Wallace Street, Braidwood",QUEANBEYAN-PALERANG REGIONAL,"[-35.44431496809943, 149.8000183687938]"
5012040.0,Wooden Wicket - Berembed Weir Site,NULL,WAGGA WAGGA,"[-34.87701149368866, 146.8370833489856]"
5045686.0,Public School & School Masters Residence (former),"George Street, Deniliquin",EDWARD RIVER,"[-35.52815598505674, 144.96477419504808]"
5056544.0,Hermit's Cave Complex,"Scenic Drive, Griffith",GRIFFITH,"[-34.26791471693655, 146.07486564003005]"
5054947.0,St James' Anglican Church,173 King Street Sydney,SYDNEY,"[-33.869437259166105, 151.21118496945175]"
5053343.0,Church and Watt Street Terrace Group,"Church Street, Newcastle",NEWCASTLE,"[-32.92991008956569, 151.78302148859507]"
5051559.0,Grave of Yuranigh,3km SE of Molong Yuranigh Road Molong,CABONNE,"[-33.12198270924817, 148.88268636296428]"
5012053.0,Hay Railway Station and yard group,Narrandera-Hay railway Hay,HAY,"[-34.499353008958096, 144.8427508974405]"
5045237.0,Egglemont,11 Cranbrook Avenue Cremorne,NORTH SYDNEY,"[-33.831896974537045, 151.22867185899156]"
5001274.0,Woolley House,34 Bullecourt Avenue Mosman,MOSMAN,"[-33.81576745856694, 151.2408971684115]"
5051248.0,Foreshore land and structures,9 Pixie Avenue Green Point,CENTRAL COAST (NSW),"[-33.46300130087405, 151.35599997937788]"
5012056.0,Homebush Railway Station group,"Great Southern and Western Railway, Homebush",STRATHFIELD,"[-33.86686016557859, 151.08698617056558]"
5045597.0,Winsbury Terrace,"75, 77, 79 Kent Street Millers Point",SYDNEY,"[-33.859830973372496, 151.20340699885284]"
5054914.0,Old Man's Valley Cemetery,"Old Man's Valley, off Quarry Road, Hornsby",HORNSBY,"[-33.699436257908104, 151.09240256910377]"
5053088.0,Bathurst Old School of Arts Library Collection,Bathurst City Library 70-78 Keppel Street Bathurst,BATHURST REGIONAL,"[-33.4226918259355, 149.57952007076176]"
5045018.0,Wambo Homestead,Warkworth,SINGLETON,"[-32.586525744638145, 150.99136242495686]"
5053600.0,Kenmore Hospital Precinct,"Taralga Road, Goulburn",GOULBURN MULWAREE,"[-34.718747479267755, 149.75545214376186]"
5045318.0,Pinnacle House,2-6 Barrack Street Sydney,SYDNEY,"[-33.8675183666091, 151.20536422854158]"
5045595.0,Gundayne House Group,"The Bucketts Way, Booral",MID-COAST,"[-32.47427511537179, 151.96097596861344]"
5045108.0,Semi-detached Cottages,200-202 Howick Street Bathurst,BATHURST REGIONAL,"[-33.41873708016177, 149.58244373083463]"
5045546.0,Wilton Park,"Wilton Park Road, Wilton",WOLLONDILLY,"[-34.212406551946465, 150.6410372660614]"
5050058.0,Loggan Rock,111 Whale Beach Road Avalon,NORTHERN BEACHES,"[-33.61903509131279, 151.3383094579718]"
5053861.0,BOOS (Bondi Ocean Outfall Sewer),"Blair Street, Bondi",WAVERLEY,"[-33.885781218855314, 151.28147530520187]"
5045159.0,"Grange, The","Renwick Street, Wyoming",CENTRAL COAST (NSW),"[-33.40378256004926, 151.35167601589924]"
5051301.0,Brownlow Hill Estate,"Brownlow Hill Loop Road, Orangeville",WOLLONDILLY,"[-34.04260554747003, 150.63778320291078]"
5045010.0,Old Sugarmill,"Sugar House Road, Canterbury",CANTERBURY-BANKSTOWN,"[-33.91379384612845, 151.12163486332804]"
5045731.0,BMA House,135-137 Macquarie Street Sydney,SYDNEY,"[-33.86430269224497, 151.21241396796518]"
5055121.0,"Balgownie Migrant Workers Hostel: Huts 201, 204 and 210","Squires Way, Fairy Meadow",WOLLONGONG,"[-34.39737244593124, 150.89963186768765]"
5000859.0,Terrace Duplexes,2-36 High Street Millers Point,SYDNEY,"[-33.859091947332566, 151.2030343750053]"
5011944.0,Relay Test Centre,11 St Davids Road Haberfield,INNER WEST,"[-33.88470256037189, 151.1371810059949]"
5051410.0,Comfort Lodge,62 Prospect Street Harris Park,PARRAMATTA,"[-33.823672833603084, 151.0150486356104]"
5045548.0,The Manse,23 The Avenue Mount Druitt,BLACKTOWN,"[-33.770043098642766, 150.81352470850894]"
5045521.0,St Bartholomew's Anglican Church & Cemetery,"Ponds Road, Prospect",BLACKTOWN,"[-33.804498603460075, 150.91758073508856]"
5053141.0,ASN Co Building,1-5 Hickson Road The Rocks,SYDNEY,"[-33.857864563925816, 151.2094795652486]"
5053231.0,View Terrace N & W Facades,26-30 Gloucester Street The Rocks,SYDNEY,"[-33.85935926173171, 151.20728908336125]"
5045633.0,Loxton House,142-144 Bridge Street Muswellbrook,MUSWELLBROOK,"[-32.2614353258341, 150.88881459752747]"
5045657.0,Egyptian Room Scottish Temple,23-35 New Canterbury Road Petersham,INNER WEST,"[-33.89580448610898, 151.15499690295684]"
5044993.0,Young Street Terraces,36-42 Young Street Sydney,SYDNEY,"[-33.86362844712908, 151.21122395522576]"
5051545.0,Sydney Observatory,"Upper Fort Street, Millers Point",SYDNEY,"[-33.85956359549526, 151.2047417976979]"
5051356.0,Man O'War Steps,"Farm Cove Crescent, Sydney",SYDNEY,"[-33.857900877516755, 151.2158034013398]"
5045739.0,Nesca House,300 King Street Newcastle,NEWCASTLE,"[-32.927874224427725, 151.7712715064796]"
5045305.0,Stables at rear of Police Station,32-34 Bridge Street Windsor,HAWKESBURY,"[-33.60516721954656, 150.82507505853246]"
5045414.0,Oldholme,12 Wallis Street East Maitland,MAITLAND,"[-32.752509116689616, 151.57713166344806]"
5000862.0,Terrace,44 Kent Street Millers Point,SYDNEY,"[-33.85939616041291, 151.20387207684473]"
5012230.0,Sydney Terminal and Central Railway Stations Group,"Great Southern and Western Railway; Illawarra Rail, Sydney",SYDNEY,"[-33.88489431571475, 151.20519333623403]"
5051445.0,Sewage Pumping Station 3,"Booth Street, Annandale",SYDNEY,"[-33.88338731496186, 151.17580543564196]"
5045579.0,Hydraulic Pump Station (former),"Pier Street, Ultimo",SYDNEY,"[-33.87752413937964, 151.2021564676577]"
5045727.0,Mill and Millhouse,"Morrisett Street, Queanbeyan",QUEANBEYAN-PALERANG REGIONAL,"[-35.35090366048967, 149.2351031277602]"
5051484.0,Warragamba Emergency Scheme,"Warragamba Dam, Warragamba",WOLLONDILLY,"[-33.87563149265647, 150.60869243100478]"
5045603.0,Post Office (former),25-27 George Street Singleton,SINGLETON,"[-32.56062021840535, 151.1739401165027]"
5045027.0,Innisfallen Castle and Grounds,14 Cherry Place Castle Cove,WILLOUGHBY,"[-33.791363380777135, 151.22358132815432]"
5045357.0,Oswald Bond Store,1-17 Kent Street Millers Point,SYDNEY,"[-33.85797305433557, 151.20315052113878]"
5011969.0,Casino Railway Station and yard group,North Coast railway Casino,RICHMOND VALLEY,"[-28.86049713836356, 153.0382640039098]"
5053184.0,Penrhyn House,22-26 Playfair Street The Rocks,SYDNEY,"[-33.858935947829956, 151.20837289026312]"
5000841.0,Claremont Cottage,"Claremont Crescent, Windsor",HAWKESBURY,"[-33.6086166470941, 150.80899412036274]"
5012149.0,Queanbeyan Railway Station group,"Henderson Road, Queanbeyan",QUEANBEYAN-PALERANG REGIONAL,"[-35.34302445691656, 149.22902448469947]"
5045317.0,Culwalla Homestead,2km east of Jamberoo Main Road Jamberoo,KIAMA,"[-34.658596443665076, 150.80105862811524]"
5045389.0,Laurelbank,85-87 Penshurst Street Willoughby,WILLOUGHBY,"[-33.80067018455519, 151.19909242039907]"
5051295.0,Forbes Post Office,118 Lachlan Street Forbes,FORBES,"[-33.38540749005157, 148.00765191886592]"
5045332.0,Corana and Hygeia,211-215 Avoca Street Randwick,RANDWICK,"[-33.91703763533518, 151.24152889971185]"
5012097.0,Martin Place Railway Station,"Eastern Suburbs Railway, Sydney",SYDNEY,"[-33.86778902515707, 151.2112119426691]"
5051430.0,Mount Dorothy Reservoir,"Caloola Road, Wentworthville",PARRAMATTA,"[-33.79774575525051, 150.96997262749548]"
5052423.0,Ben Hall's Death Site,"Ben Halls Road, Yarrangong",FORBES,"[-33.22118545247744, 147.90276930059815]"
5045379.0,Manufacturers House,35-37 Watt Street Newcastle,NEWCASTLE,"[-32.928694330674276, 151.78424770859047]"
5014090.0,Georges Head Military Fortifications,"Chowder Bay Roads, Georges Heights",MOSMAN,"[-33.83623231557068, 151.26078215682497]"
5012050.0,Harden Railway Station and yard group,"Main Southern railway, Harden",HILLTOPS,"[-34.553418684677915, 148.37130172562962]"
5056556.0,Bethanga Bridge,"Riverina Highway, Albury",ALBURY,"[-36.08796906641012, 147.05575998743336]"
5045170.0,Essington,"2,4,6,8 Bridge Road Westmead",CUMBERLAND,"[-33.81658739636276, 150.98057442148033]"
5045233.0,Building,"8, 10, 12 Trinity Avenue Millers Point",SYDNEY,"[-33.857546028663776, 151.20669763068898]"
5000842.0,Terraces,"46, 48 Argyle Place Millers Point",SYDNEY,"[-33.8580366624671, 151.20455449692952]"
5012127.0,Orange Railway Station and yard group,Peisley Street Orange,ORANGE,"[-33.28694890209494, 149.10374131693152]"
5045718.0,Tomago House & Tomago Chapel,"Tomago Road, Tomago",PORT STEPHENS,"[-32.8289017902445, 151.73489046873433]"
5045188.0,St Luke's Anglican Church,"Elizabeth Drive, Liverpool",LIVERPOOL,"[-33.920646772812006, 150.92342926785517]"
5012252.0,Uralla Railway Station group,Main Northern Railway Uralla,URALLA,"[-30.643846102464522, 151.50525705793197]"
5051428.0,Manly Dam,"King Street (near), Manly Vale",NORTHERN BEACHES,"[-33.78139337573866, 151.25599985387177]"
5045677.0,"St Matthew's Anglican Church, Rectory, Stables & Cemetery","Moses Street, Windsor",HAWKESBURY,"[-33.60809848344495, 150.8128557758825]"
5014092.0,Hartley Historic Site,"Great Western Highway, Hartley Historic Site",LITHGOW,"[-33.54620888631165, 150.17563032245553]"
5000652.0,Goulburn Correctional Centre complex,"Maud Street (off), Goulburn",GOULBURN MULWAREE,"[-34.741478221113674, 149.74050526207634]"
5045061.0,Reids Butcher shop & dwelling,462 Guinea Street Albury,ALBURY,"[-36.07444500103477, 146.92136331259465]"
5051541.0,Denbigh,421 The Northern Road Cobbitty,CAMDEN,"[-33.99445956976566, 150.71043262375372]"
5045692.0,Ottery Mine,8km north-east Emmaville,GLEN INNES SEVERN,"[-29.408931536853974, 151.66032447562708]"
5053145.0,Baker's Terrace,66-68 Gloucester Street The Rocks,SYDNEY,"[-33.86025951475325, 151.20745226321708]"
5053860.0,Alexandra Canal,Alexandria,SYDNEY,"[-33.91347727244355, 151.1894321666538]"
5012107.0,Mittagong Railway Station and yard group,Main Southern railway Mittagong,WINGECARRIBEE,"[-34.45214639127531, 150.4501281213903]"
5011963.0,Substation,60 Bundock Lane Randwick,RANDWICK,"[-33.92671898460366, 151.24367559310141]"
5053146.0,Baker's Terrace,70-72 Gloucester Street The Rocks,SYDNEY,"[-33.86034422475332, 151.20744655220656]"
5051407.0,Harrisford,182 George Street Parramatta,PARRAMATTA,"[-33.814801191119024, 151.01049306244093]"
5053154.0,Coach House,4-6 Kendall Lane The Rocks,SYDNEY,"[-33.858804444852154, 151.20862062324528]"
5044971.0,Tranby,13 Mansfield Street Glebe,SYDNEY,"[-33.87768185059289, 151.18299906437747]"
5051400.0,Avondale,25 O'Connell Street Parramatta,PARRAMATTA,"[-33.805432470282454, 151.00216627887562]"
5045016.0,Berrima House,"19 Jellore Street, Berrima",WINGECARRIBEE,"[-34.49023815886392, 150.33174181283115]"
5045696.0,CBC Bank (former),16-20 Manning Street Kiama,KIAMA,"[-34.67234102686271, 150.8565848610462]"
5012091.0,"Gogeldrie Weir, near Narrandera","Murrumbidgee River,",LEETON,"[-34.61678444464076, 146.25741163619804]"
5045202.0,Townhouse,28 Lower Fort Street Millers Point,SYDNEY,"[-33.85697747069628, 151.20708823570942]"
5012135.0,Bathurst Correctional Centre,"Browning Street, Bathurst",BATHURST REGIONAL,"[-33.41932670107157, 149.55833126519119]"
5049926.0,Qantas House (No. 1 Chifley Square),68-96 Hunter Street Sydney,SYDNEY,"[-33.86596066009574, 151.21069225698875]"
5045395.0,Grace Building,77-79 York Street Sydney,SYDNEY,"[-33.86898523164947, 151.2056867162987]"
5053224.0,Terraces,182.5-186 Cumberland Street The Rocks,SYDNEY,"[-33.862016562628284, 151.20598227819153]"
5051404.0,Travellers Rest Inn Group,"12,14,16 O'Connell Street Parramatta",PARRAMATTA,"[-33.81511489413398, 150.9998295489233]"
5045523.0,Overthorpe,337-347 New South Head Road Double Bay,WOOLLAHRA,"[-33.87905399902355, 151.24103937389032]"
5045600.0,Blyth Terrace,"82, 84, 86, 88 Kent Street Millers Point",SYDNEY,"[-33.86031225242311, 151.20391252771606]"
5045563.0,Sydney Cricket Ground - Members Stand and Lady Members Stand,"Driver Avenue, Moore Park",SYDNEY,"[-33.89098535850151, 151.22386469374396]"
5001059.0,St Paul's Anglican Church and Pipe Organ,205 Burwood Road Burwood,BURWOOD,"[-33.881704276119876, 151.10245229436862]"
5045577.0,Bourke Street Congregational Church & School (Former),411A Bourke Street Darlinghurst,SYDNEY,"[-33.88190842372424, 151.21622512605637]"
5045003.0,Stanmore House,88 Enmore Road Enmore,INNER WEST,"[-33.898949294972766, 151.17475500770564]"
5011934.0,Bombala Railway Station and yard group,Goulburn-Bombala railway,SNOWY MONARO REGIONAL,"[-36.908087103997374, 149.23765788277146]"
5054620.0,Trinity Uniting Church,62 The Boulevarde Strathfield,BURWOOD,"[-33.87504156430481, 151.09418501544255]"
5045138.0,Warders Cottages,1 and 3 Barrack Lane Parramatta,PARRAMATTA,"[-33.81512124080417, 151.00706823888783]"
5012297.0,Young Railway Station and yard group,"Blayney-Harden railway, Young",HILLTOPS,"[-34.31135583393667, 148.29699852961298]"
5051399.0,Redcoats Mess House,"Horwood Place, Parramatta",PARRAMATTA,"[-33.813498124620025, 151.00520237837023]"
5051394.0,Elizabeth Farm,70 Alice Street Rosehill,PARRAMATTA,"[-33.821058982848825, 151.0178996925503]"
5054965.0,Burra Bee Dee Mission,"Oxley Highway, Coonabarabran",WARRUMBUNGLE SHIRE,"[-31.23528340598425, 149.34481857494237]"
5051524.0,Gore Hill Memorial Cemetery,"Pacific Highway, Gore Hill",WILLOUGHBY,"[-33.823442080727894, 151.1885179878579]"
5051258.0,Woodford Academy,90-92 Great Western Highway Woodford,BLUE MOUNTAINS,"[-33.73295501340095, 150.47360535095078]"
5045640.0,Adelong Falls Gold Workings/Reserve,Tumut,SNOWY VALLEYS,"[-35.2939412001676, 148.05809419743366]"
5045372.0,Nant Gwylan and Garden,"Exeter Street, Camden",CAMDEN,"[-34.05079075076674, 150.69520849152758]"
5012306.0,Royal Prince Alfred Hospital - Victoria & Albert Pavilions,"Missenden Road, Camperdown",SYDNEY,"[-33.88992952365218, 151.18271581977547]"
5052218.0,Escort Rock,"The Escort Way, Eugowra",CABONNE,"[-33.40308757505784, 148.41168928185863]"
5045137.0,Nutcote,5 Wallaringa Avenue Neutral Bay,NORTH SYDNEY,"[-33.842110639907226, 151.2211670716926]"
